procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 111104 969624 161880 3128852    1   20    77   190  368  943 11  5 84  0  0
 0  0 111104 955604 161880 3133388    0    0     0   176 2196 7009  5  3 92  0  0
 0  0 111104 946208 161888 3132144    0    0     0    12 1979 6439  3  2 94  0  0
 2  0 111104 935192 161888 3132732    0    0     0     0 2041 6501  4  2 94  0  0
 2  0 111104 929648 161888 3128572    0    0     0    44 1987 6278  4  2 94  0  0
 0  0 111104 919820 161896 3128128    0    0     0    16 1753 6470  5  2 93  0  0
 7  0 111104 912740 161896 3124832    0    0     0     0  558 1257  3  1 97  0  0
 1  0 111104 875972 161912 3126900    0    0     0   108 2121 4817 13  3 84  0  0
 0  0 111104 844520 161920 3126020    0    0     8    64 1673 3936 10  2 88  0  0
[1]  + done       ./ex2
 1  0 111104 934720 162036 3125732    0    0     4  3572 1678 2897 12  2 85  1  0
